Customer ID	Full Name	Date of Purchase	Age	State	MTN Device	Gender	Satisfaction Rate	Customer Review	Customer Tenure in months	Subscription Plan	 Unit Price 	Number of Times Purchased	 Total Revenue 	Data Usage (gb)	Customer Churn Status	Reasons for Churn
CUST0001	Ngozi Berry	1/25/25	27	Kwara	4G Router	Male	2	Fair	2	165GB Monthly Plan	" ?35,000 "	19	" ?665,000 "	44.48	Yes	Relocation
CUST0002	Zainab Baker	3/25/25	16	Abuja (FCT)	Mobile SIM Card	Female	2	Fair	22	12.5GB Monthly Plan	" ?5,500 "	12	" ?66,000 "	19.79	Yes	Better Offers from Competitors
CUST0003	Saidu Evans	3/25/25	21	Sokoto	5G Broadband Router	Male	1	Poor	60	150GB FUP Monthly Unlimited	" ?20,000 "	8	" ?160,000 "	9.64	No	
CUST0003	Saidu Evans	3/25/25	21	Sokoto	Mobile SIM Card	Male	1	Poor	60	1GB+1.5mins Daily Plan	 ?500 	8	" ?4,000 "	197.05	No	
CUST0003	Saidu Evans	3/25/25	21	Sokoto	Broadband MiFi	Male	1	Poor	60	30GB Monthly Broadband Plan	" ?9,000 "	15	" ?135,000 "	76.34	No	
CUST0004	Ejiro Walker	3/25/25	36	Gombe	4G Router	Female	1	Poor	14	10GB+10mins Monthly Plan	" ?4,500 "	9	" ?40,500 "	92.72	No	
CUST0005	Nura Mann	1/25/25	57	Oyo	4G Router	Male	3	Good	53	25GB Monthly Plan	" ?9,000 "	16	" ?144,000 "	42.92	No	
CUST0006	Tamuno Lewis	2/25/25	74	Plateau	Mobile SIM Card	Female	5	Excellent	9	7GB Monthly Plan	" ?3,500 "	5	" ?17,500 "	44.25	No	
CUST0006	Tamuno Lewis	2/25/25	74	Plateau	5G Broadband Router	Female	5	Excellent	9	1.5TB Yearly Broadband Plan	" ?150,000 "	2	" ?300,000 "	18.64	No	
CUST0006	Tamuno Lewis	2/25/25	74	Plateau	4G Router	Female	5	Excellent	9	65GB Monthly Plan	" ?16,000 "	6	" ?96,000 "	30.99	No	
